Date,Player1,Opponent
2024-11-29,344,510
2024-11-29,21,44
2024-11-29,143,457
2024-11-22,03,66
2024-11-22,776,644
2024-11-22,12,66
2024-10-24,13,66
2024-10-24,11,66
2024-10-24,3,8
2024-09-27,01,66
2024-09-11,00,66
2024-09-11,66,44
2024-05-28,32,66
2024-04-28,10,66
2024-04-28,34,66
2024-04-19,0,6
2024-04-19,1,6
2024-04-19,10,66
2024-04-12,10,66
2024-02-04,21,66
2024-02-04,21,66
2024-02-04,00,66
2024-02-04,41,66
2024-01-12,0,6
2024-01-12,1,6
2024-01-12,1,6
2023-12-10,3604,62110
2023-09-10,20,66
2023-09-10,01,66
2023-09-10,02,66
2023-08-25,2,6
2023-08-25,2,6
2023-08-25,4,6
2023-08-25,1,6
2023-05-14,42,66
2023-05-14,00,66
2023-04-30,00,66
2023-04-30,20,66
2023-04-30,00,66
2023-04-07,0,6
2023-04-07,2,6
2023-04-07,6,3
2023-03-05,10,66
2023-03-05,01,66
2023-02-12,66,42
2023-02-12,02,66
2023-02-12,00,66
2023-02-12,66,34
